Galaxy Name,Fit Model,Re,Rs,i_bulge,i_disk,q_bulge,q_disk,z,Magnitude,n,Class
AT2022arb,Sersic,4.32±0.33,--,30.7,--,0.86±0.03,--,0.062,18.50±0.04,5.21±0.50,H+He
AT2022agi,Sersic,1.75±0.02,--,11.5,--,0.98±0.01,--,0.11783,17.35±0.01,3.30±0.12,H+He
AT2022adm,Sersic,3.57±0.05,--,58.7,--,0.52±0.01,--,0.061,17.89±0.01,2.90±0.13,H+He
AT2022aee,Sersic,2.77±0.16,--,19.9,--,0.94±0.06,--,0.124,19.01±0.02,1.22±0.36,H
AT2022czy,Sersic,4.08±0.17,--,69.5,--,0.35±0.02,--,0.109,18.70±0.03,3.78±0.42,H
AT2022emf,Sersic,4.96±0.31,--,49.5,--,0.65±0.04,--,0.081,18.63±0.04,2.48±0.29,H+He
AT2022exr,Sersic,7.28±0.27,--,44.8,--,0.71±0.01,--,0.096,17.96±0.02,3.11±0.12,H
AT2022fpx,Sersic,10.74±1.06,--,19.9,--,0.94±0.02,--,0.073,17.75±0.05,5.63±0.36,H+He
AT2022hvp,Sersic,4.95±0.13,--,65.8,--,0.41±0.01,--,0.12,18.03±0.02,3.16±0.20,He
AT2022lri,Sersic+exp,4.27±0.51,8.91±0.28,44.8,25.8,0.71±0.01,0.90±0.01,0.032,16.63±0.15,1.75±0.20,H+He
AT2022pna,Sersic,1.70±0.07,--,43.1,--,0.73±0.03,--,0.095,18.28±0.02,6.47±0.74,H+He
AT2022upj,Sersic+exp,1.56±0.08,7.00±0.09,36.9,19.9,0.80±0.03,0.94±0.01,0.054,16.54±0.01,0.35±0.20,He
AT2023rvb,Sersic+psf,18.33±0.18,--,39.6,--,0.77±0.01,--,0.0815,16.70±0.03,0.59±0.01,H+He
AT2023mhs,Sersic,5.04±0.04,--,25.8,--,0.90±0.01,--,0.0482,16.88±0.00,0.85±0.02,H+He
AT2023kvy,Sersic,2.84±0.38,--,51.7,--,0.62±0.10,--,0.16,19.70±0.08,3.67±1.46,H
AT2023mfm,Sersic,15.69±0.47,--,50.2,--,0.64±0.01,--,0.087,16.62±0.02,4.39±0.09,H
AT2023tmq,Sersic,5.31±0.08,--,47.2,--,0.68±0.01,--,0.077,17.53±0.01,1.99±0.05,H+He
AT2023ugy,Sersic,2.07±0.02,--,24.5,--,0.91±0.01,--,0.106,17.82±0.00,2.18±0.07,H
AT2023wdb,Sersic,8.11±0.28,--,45.6,--,0.70±0.01,--,0.06,17.81±0.02,2.87±0.11,H+He
AT2024yqo,2Sersic+exp,11.86±2.22,18.73±0.70,68.3,27.1,0.37±0.02,0.89±0.02,0.0617,15.74±0.14,3.89±0.39,H+He
AT2024tvd,Sersic+psf,29.74±0.42,--,57.3,--,0.54±0.00,--,0.0449,15.07±0.02,5.06±0.06,H+He
