Galaxy Name,Fit Model,Re,Rs,i_bulge,i_disk,q_bulge,q_disk,z,Magnitude,n,Class
AT2020qhs,Sersic,4.18±0.31,--,47.9,--,0.67±0.04,--,0.345,18.93±0.04,3.34±0.43,--
AT2020opy,Sersic,1.93±0.06,--,38.7,--,0.78±0.02,--,0.159,18.56±0.02,4.11±0.38,H+He
AT2020nov,Sersic+exp,2.17±0.08,9.92±0.25,21.6,36.9,0.93±0.01,0.80±0.01,0.084,16.26±0.04,2.31±0.12,H+He
AT2020neh,Sersic,4.82±0.08,--,33.9,--,0.83±0.01,--,0.062,17.18±0.01,2.62±0.07,H+He
AT2020ocn,Sersic+exp,2.04±0.25,5.81±0.17,21.6,44.8,0.93±0.03,0.71±0.02,0.07,17.13±0.10,4.94±0.74,He
AT2020ksf,Sersic,5.24±0.12,--,21.6,--,0.93±0.01,--,0.0942,17.37±0.01,3.03±0.09,H+He
AT2020pj,Sersic+psf,7.63±0.13,--,43.1,--,0.73±0.01,--,0.068,17.54±0.04,0.91±0.06,H+He
AT2019teq,Sersic,7.91±0.06,--,60.0,--,0.50±0.00,--,0.0878,17.43±0.00,0.85±0.01,H+He
AT2019lwu,Sersic,3.60±0.15,--,29.5,--,0.87±0.04,--,0.117,19.14±0.03,1.89±0.20,H
AT2019gte,Sersic+exp,1.48±0.04,11.66±0.04,53.1,79.6,0.60±0.01,0.18±0.00,0.086,15.87±0.00,0.64±0.12,He
AT2019ehz,Sersic,6.69±0.31,--,56.6,--,0.55±0.02,--,0.074,18.21±0.03,2.84±0.16,H
AT2019bhf,Sersic+exp,2.09±0.55,3.83±0.09,73.7,28.4,0.28±0.08,0.88±0.03,0.1206,17.83±0.18,4.44±1.31,H+He
AT2018lna,Sersic,4.15±0.13,--,48.7,--,0.66±0.02,--,0.091,19.25±0.02,1.45±0.12,H+He
AT2018lni,Sersic,2.04±0.19,--,47.9,--,0.67±0.09,--,0.138,19.51±0.03,1.36±0.73,H+He
AT2018iih,Sersic,3.83±0.10,--,75.5,--,0.25±0.01,--,0.212,18.37±0.02,3.53±0.28,He
AT2018hyz,Sersic+exp,1.24±0.12,3.96±0.03,83.7,27.1,0.11±0.10,0.89±0.01,0.04573,16.55±0.06,3.96±0.51,H+He
AT2018hco,Sersic,4.23±0.12,--,16.3,--,0.96±0.02,--,0.09,18.10±0.02,2.57±0.12,H
